time,COMBINED,speaker,talk
1302,"T//Two dots, yep. Yep.",T,"//Two dots, yep. Yep."
1305,SNCan I have a pencil? I only brought a pen.,SN,Can I have a pencil? I only brought a pen.
1308,"TYeah. If you need a pencil, let me know. Don't try to do this in pen. It's too- too much erasing going on. ",T,"Yeah. If you need a pencil, let me know. Don't try to do this in pen. It's too- too much erasing going on. "
1314,"TYes, Mitch? Question?",T,"Yes, Mitch? Question?"
1317,"SNWhen we shade these, what colors did they- do you want us to have them?",SN,"When we shade these, what colors did they- do you want us to have them?"
1321,TI have a box of pencils right up- colored pencils. I did. Right up here. Whatever color you want except red or blue. ,T,I have a box of pencils right up- colored pencils. I did. Right up here. Whatever color you want except red or blue. 
1329,TOops. You needed this. ,T,Oops. You needed this. 
1332,"TWhatever color you want except red or blue, okay? All right. If there are no more questions, get started. ",T,"Whatever color you want except red or blue, okay? All right. If there are no more questions, get started. "
1341,TI'm gonna put this away so I don't trip on it. ,T,I'm gonna put this away so I don't trip on it. 
1349,TYes?,T,Yes?
1350,SNI need a pencil.,SN,I need a pencil.
1351,"TOkay. Go back over there and get one from where I got it, top- that little top drawer. Mark, did you have a question?",T,"Okay. Go back over there and get one from where I got it, top- that little top drawer. Mark, did you have a question?"
1357,SNI don't like sitting next to a wall.,SN,I don't like sitting next to a wall.
1359,SN(inaudible),SN,(inaudible)
1360,TWhy?,T,Why?
1361,SN(inaudible),SN,(inaudible)
1364,TOn the wall? Do you want me to move you up here? ,T,On the wall? Do you want me to move you up here? 
1368,"SNo, that's all right.",S,"No, that's all right."
1369,TOh. I thought so. Christina?,T,Oh. I thought so. Christina?
1371,SNCan I sharpen my pencil?,SN,Can I sharpen my pencil?
1372,"TYes, you may sharpen your pencil.",T,"Yes, you may sharpen your pencil."
1374,"SNCan I sharpen my pencil, too?",SN,"Can I sharpen my pencil, too?"
1376,TYeah. You guys are supposed to do this beforehand. ,T,Yeah. You guys are supposed to do this beforehand. 
1386,"TOkay. Let's see if I can talk you through this. You wrote ""the city of Detroit."" ",T,"Okay. Let's see if I can talk you through this. You wrote ""the city of Detroit."" "
1391,"TAnd then there was a circle next to it so just draw a circle, a relatively large circle. ",T,"And then there was a circle next to it so just draw a circle, a relatively large circle. "
1400,TOkay. Now- no. Don't fill it in. Just a //circle.,T,Okay. Now- no. Don't fill it in. Just a //circle.
1401,SN//Oh.,SN,//Oh.
1403,"TAnd I just said ""use a pencil."" Is that a pencil?",T,"And I just said ""use a pencil."" Is that a pencil?"
1405,SYes.,S,Yes.
1406,"TOh. That's a cool pencil. Okay. An open circle. Now, in the circle you have four choices. ",T,"Oh. That's a cool pencil. Okay. An open circle. Now, in the circle you have four choices. "
1417,"TThese are your choices: mostly sunny- no. Clear, mostly sunny, partly cloudy, mostly cloudy, cloudy. That's it. Five of them. Okay? ",T,"These are your choices: mostly sunny- no. Clear, mostly sunny, partly cloudy, mostly cloudy, cloudy. That's it. Five of them. Okay? "
1429,"SThat would be cloudy, wouldn't it?",S,"That would be cloudy, wouldn't it?"
1430,TAnd they are- it's saying cloudy. And they are represented by how much you shade that circle. ,T,And they are- it's saying cloudy. And they are represented by how much you shade that circle. 
1437,SSo that would be about 50% probably?,S,So that would be about 50% probably?
1438,"TActually, cloudy is gonna be all shaded. ",T,"Actually, cloudy is gonna be all shaded. "
1441,SOkay.,S,Okay.
1442,TOkay? ,T,Okay? 
1444,"TAnd let me see your pencil for a minute, and I'll draw them on the back so you can- all right. ",T,"And let me see your pencil for a minute, and I'll draw them on the back so you can- all right. "
1449,TThis one is totally unshaded so that's going to be what?,T,This one is totally unshaded so that's going to be what?
1454,"SUh, sunny. ",S,"Uh, sunny. "
1455,TClear. Yeah. Sunny or clear. This one is gonna be a quarter shaded. ,T,Clear. Yeah. Sunny or clear. This one is gonna be a quarter shaded. 
1460,TThis one is gonna be- let's do them all first and then you can compare. This one is gonna be this way. ,T,This one is gonna be- let's do them all first and then you can compare. This one is gonna be this way. 
1469,TAnd that one is gonna be completely- and you know this one's cloudy and this one's clear. ,T,And that one is gonna be completely- and you know this one's cloudy and this one's clear. 
1473,"TOkay? So now your other options are mostly cloudy, mostly sunny or partly cloudy.",T,"Okay? So now your other options are mostly cloudy, mostly sunny or partly cloudy."
1481,"SOkay. So that would be sunny, partly- that would be sunny, that would be partly cloudy, mostly cloudy, right? No. No.",S,"Okay. So that would be sunny, partly- that would be sunny, that would be partly cloudy, mostly cloudy, right? No. No."
1493,TOkay. If-,T,Okay. If-
1494,"S//Oh, boy.",S,"//Oh, boy."
1495,"T//That's all right. Relax. If that's clear, then this is like mostly clear or mostly?",T,"//That's all right. Relax. If that's clear, then this is like mostly clear or mostly?"
1501,S Mostly clear.,S ,Mostly clear.
1503,TMostly clear or mostly? If this one's sunny- ,T,Mostly clear or mostly? If this one's sunny- 
1508,SMostly sunny.,S,Mostly sunny.
1509,TOkay. This one is mostly sunny. Now you've got mostly cloudy and partly cloudy and these two left. ,T,Okay. This one is mostly sunny. Now you've got mostly cloudy and partly cloudy and these two left. 
1517,TWhich one's mostly cloudy and which one's partly cloudy? What's that one?,T,Which one's mostly cloudy and which one's partly cloudy? What's that one?
1522,SMostly cloudy.,S,Mostly cloudy.
1523,TWhat's that one?,T,What's that one?
1524,SPartly cloudy.,S,Partly cloudy.
1525,TOkay. So you've got-,T,Okay. So you've got-
1527,"SSunny, clear.",S,"Sunny, clear."
1529,TYeah. Sunny or clear.,T,Yeah. Sunny or clear.
1530,"SMostly sunny, partly cloudy, mostly cloudy, cloudy.",S,"Mostly sunny, partly cloudy, mostly cloudy, cloudy."
1536,TBeautiful.,T,Beautiful.
1537,"TDetroit was easy, but you're gonna get to some other ones that- okay? ",T,"Detroit was easy, but you're gonna get to some other ones that- okay? "
1542,"TAll right, now, the next thing that you have to figure out is where the temperature goes and where the dew point goes. ",T,"All right, now, the next thing that you have to figure out is where the temperature goes and where the dew point goes. "
1547,"TYou guys, you have humidity information. Does it go on the weather station model anywhere?",T,"You guys, you have humidity information. Does it go on the weather station model anywhere?"
1553,SNNo.,SN,No.
1555,SSNo.,SS,No.
1556,"TNo. We didn't put humidity on there, did we?",T,"No. We didn't put humidity on there, did we?"
1558,SSo I don't need-,S,So I don't need-
1559,SN(inaudible),SN,(inaudible)
1560,"TWell, just- you don't need it right now. You'll need it to answer some questions, but you don't need it on the weather station model. Mark?",T,"Well, just- you don't need it right now. You'll need it to answer some questions, but you don't need it on the weather station model. Mark?"
1566,SNFor Detroit how is eight mile an hour- (you got us around 10).,SN,For Detroit how is eight mile an hour- (you got us around 10).
1569,"TEight-mile-an-hour wind- I told you last week, your choice. It's either a five- you listening, Geoffrey? ",T,"Eight-mile-an-hour wind- I told you last week, your choice. It's either a five- you listening, Geoffrey? "
1577,TEight-mile-an-hour wind is either a five or a 10. Your choice. ,T,Eight-mile-an-hour wind is either a five or a 10. Your choice. 
1581,"TIf you show me three long lines there, I'm gonna know you didn't know what you were doing, okay? All right. ",T,"If you show me three long lines there, I'm gonna know you didn't know what you were doing, okay? All right. "
1588,TDo you remember where temperature went? ,T,Do you remember where temperature went? 
1595,SNRight above it. ,SN,Right above it. 
1596,TYeah. Right above it to the left. ,T,Yeah. Right above it to the left. 
1604,TOkay. And then dew point went? ,T,Okay. And then dew point went? 
1607,SUpper right a bit?,S,Upper right a bit?
1609,TBelow left. ,T,Below left. 
1616,TOkay? You've got the city there. Do you remember what goes above the city on this thing?,T,Okay? You've got the city there. Do you remember what goes above the city on this thing?
1623,SThe pressure?,S,The pressure?
1624,TYep. ,T,Yep. 
1625,SNThen we do- write on the left.,SN,Then we do- write on the left.
1629,SNPressure is on the left.,SN,Pressure is on the left.
1634,"TWhen you do the pressure, make sure you show falling, steady or rising, either with the letters or the arrows. ",T,"When you do the pressure, make sure you show falling, steady or rising, either with the letters or the arrows. "
1640,"TRising would be just shooting straight across, a horizontal line. ",T,"Rising would be just shooting straight across, a horizontal line. "
1647,"TOkay. So, now, if you're not doing humidity, the only thing you have left is wind speed and direction. Do you remember how that was represented? ",T,"Okay. So, now, if you're not doing humidity, the only thing you have left is wind speed and direction. Do you remember how that was represented? "
1654,"SUm, (by an arrow).",S,"Um, (by an arrow)."
1656,THuh?,T,Huh?
1657,SBy an arrow.,S,By an arrow.
1658,TAn arrow that's shooting into the circle.,T,An arrow that's shooting into the circle.
1660,SRight.,S,Right.
1661,"TAnd it is a //northeast wind, so- ",T,"And it is a //northeast wind, so- "
1662,S//North... in this area down here? That way? ,S,//North... in this area down here? That way? 
1665,TThat's northwest.,T,That's northwest.
1666,"SNYou're thinking of, like, Las Vegas and Nevada.",SN,"You're thinking of, like, Las Vegas and Nevada."
1667,TYeah.,T,Yeah.
1670,"TIf you have trouble remembering your directions, make little compass rows at the top of your map. ",T,"If you have trouble remembering your directions, make little compass rows at the top of your map. "
1676,SNAh. ,SN,Ah. 
1677,TAh. ,T,Ah. 
1685,SNLet's see if I find the state.,SN,Let's see if I find the state.
1687,SN(Do we do that) (inaudible)?,SN,(Do we do that) (inaudible)?
1689,TNo. You don't need to worry- all of these weather- or all of the wind directions are in either northeast or south- or south- ,T,No. You don't need to worry- all of these weather- or all of the wind directions are in either northeast or south- or south- 
1695,"TI didn't put east, northeast or-",T,"I didn't put east, northeast or-"
1697,SNOkay.,SN,Okay.
1698,TNo. I didn't do any of that.,T,No. I didn't do any of that.
1699,SOkay.,S,Okay.
1700,SNWhere is Hatteras?,SN,Where is Hatteras?
1701,"SNCan I see the map when you're done, Hannah?",SN,"Can I see the map when you're done, Hannah?"
1704,SNWhat state is it in?,SN,What state is it in?
1707,"TYou can tell her, Jennifer.",T,"You can tell her, Jennifer."
1709,SNI don't know.,SN,I don't know.
1710,"TOh, you guys, I told you where it was.",T,"Oh, you guys, I told you where it was."
1712,SNI- I remember it.,SN,I- I remember it.
1713,"SNI found out, this-",SN,"I found out, this-"
1714,"SNIf you remember, then you can tell me.",SN,"If you remember, then you can tell me."
1717,SNI remember her telling us. I just don't remember where.,SN,I remember her telling us. I just don't remember where.
1719,SNI remember her talking about it.,SN,I remember her talking about it.
1721,SNThis is a-,SN,This is a-
1724,SNCape Hatteras-,SN,Cape Hatteras-
1726,"TYes. In your- on your map in your book it says Cape Hatteras, right. ",T,"Yes. In your- on your map in your book it says Cape Hatteras, right. "
1730,SNOkay. It's in the book. ,SN,Okay. It's in the book. 
1731,"SNOh, that helps.",SN,"Oh, that helps."
1732,"SNOh, that hurt. ",SN,"Oh, that hurt. "
1733,TIt's not on your plastic map. ,T,It's not on your plastic map. 
1734,SOh. It's not?,S,Oh. It's not?
1735,TDoes that help? ,T,Does that help? 
1736,SNo.,S,No.
1737,TI don't think it is. It might be.,T,I don't think it is. It might be.
1738,SNIt's North Carolina.,SN,It's North Carolina.
1741,TNope. It's not on your plastic map.,T,Nope. It's not on your plastic map.
1743,SNIt's out in the ocean.,SN,It's out in the ocean.
1745,"TWell, no. The name is out in the ocean. The little dot //is actually on land.",T,"Well, no. The name is out in the ocean. The little dot //is actually on land."
1747,SN//There's no dot.,SN,//There's no dot.
1748,SNThere's no dot.,SN,There's no dot.
1749,SNIt's just out in the middle of the ocean.,SN,It's just out in the middle of the ocean.
1756,TYou're right. There is no dot. Hmm. I'm looking in the wrong place anyways. //I'm looking in-,T,You're right. There is no dot. Hmm. I'm looking in the wrong place anyways. //I'm looking in-
1761,SN//(Where's) New York in New York? It's not on this map. It must be on that-,SN,//(Where's) New York in New York? It's not on this map. It must be on that-
1763,"SNIt's on the very corner, like, //if you (go) that way, let's say go to B, it's on the very bottom.",SN,"It's on the very corner, like, //if you (go) that way, let's say go to B, it's on the very bottom."
1765,T//New York is on here. It's just very hard to find.,T,//New York is on here. It's just very hard to find.
1767,SNAll right. On this one?,SN,All right. On this one?
1768,TMm-hm. Here's the state.,T,Mm-hm. Here's the state.
1770,SRight. //Oh. There it is.,S,Right. //Oh. There it is.
1771,THere's the city right there. Yeah.,T,Here's the city right there. Yeah.
1772,SI'm stupid.,S,I'm stupid.
1774,TYou're not stupid. It's just buried on an island.,T,You're not stupid. It's just buried on an island.
1778,"SNYou know, partly would be like-",SN,"You know, partly would be like-"
1779,SNPartly is 50. Partly is 50. 50. ,SN,Partly is 50. Partly is 50. 50. 
1782,"SPartly is 50. Partly is 50, Mitch.",S,"Partly is 50. Partly is 50, Mitch."
1785,SNOkay.,SN,Okay.
1786,SNMostly is 75 (inaudible) very cloudy.,SN,Mostly is 75 (inaudible) very cloudy.
1788,TYou haven't finished the Detroit station weather model yet.,T,You haven't finished the Detroit station weather model yet.
1792,TShouldn't you finish that? Before you start one?,T,Shouldn't you finish that? Before you start one?
1794,"TI mean, that's what I would do. I guess you can do it any way you want, but- I guess everybody else is doing it that way, too.",T,"I mean, that's what I would do. I guess you can do it any way you want, but- I guess everybody else is doing it that way, too."
1804,"TRemember to keep your handwriting very small and really nice and neat, those of you that struggle with neat. Really nice and neat.",T,"Remember to keep your handwriting very small and really nice and neat, those of you that struggle with neat. Really nice and neat."
1815,SNThat good?,SN,That good?
1817,SN There's a river. ,SN ,There's a river. 
1818,TYes.,T,Yes.
1819,"SNMiss A, there's a river through it, but there is no little dot for it.",SN,"Miss A, there's a river through it, but there is no little dot for it."
1826,"THow about on the plastic map? That's why I gave you that plastic map, too, because-",T,"How about on the plastic map? That's why I gave you that plastic map, too, because-"
1830,SNPlastic map. ,SN,Plastic map. 
1832,"Tsome of these cities- some of these cities are not as maj- well, Des Moines is a major city, but some aren't.",T,"some of these cities- some of these cities are not as maj- well, Des Moines is a major city, but some aren't."
1840,SOh. It's right in the middle of it.,S,Oh. It's right in the middle of it.
1843,TAnd they're just on weather maps because they have a weather station there.,T,And they're just on weather maps because they have a weather station there.
1852,"SNDo we have to label like temperature, pressure?",SN,"Do we have to label like temperature, pressure?"
1855,TWhat did you have to do on the weather station model?,T,What did you have to do on the weather station model?
1857,SI don't know. I-,S,I don't know. I-
1859,TOh. You mean tell me what it is? No. I know what it is.,T,Oh. You mean tell me what it is? No. I know what it is.
1861,SAll right.,S,All right.
1862,TYeah. No. You just write it down.,T,Yeah. No. You just write it down.
1865,"SNOkay, Jeff. Circle, and you put New York right there. Okay. And keep this- that right there.",SN,"Okay, Jeff. Circle, and you put New York right there. Okay. And keep this- that right there."
1875,SNCan we just put like NC- I mean NY for like New York?,SN,Can we just put like NC- I mean NY for like New York?
1880,TYeah. Make sure I'm not- make sure you don't get too much clutter around it so that you can't tell that that's what it is.,T,Yeah. Make sure I'm not- make sure you don't get too much clutter around it so that you can't tell that that's what it is.
1885,SOkay.,S,Okay.
1886,"TOkay? So make it clear enough that I'll be able to see it, because NY could easily get lost in there.",T,"Okay? So make it clear enough that I'll be able to see it, because NY could easily get lost in there."
1891,SOkay.,S,Okay.
1892,TOkay?,T,Okay?
1895,"SNWhat do we put for ""steady?""",SN,"What do we put for ""steady?"""
1897,TS.,T,S.
1898,SS.,S,S.
1899,"TOr an arrow- here's your circle, ",T,"Or an arrow- here's your circle, "
1900,SNYeah.,SN,Yeah.
1901,TAn arrow just shooting off.,T,An arrow just shooting off.
1902,SOkay. ,S,Okay. 
1921,"SHere you are, Mitch. ",S,"Here you are, Mitch. "
1922,SNYou can use the eraser.,SN,You can use the eraser.
1924,SNUse yours. My pencil doesn't show up.,SN,Use yours. My pencil doesn't show up.
1927,SNI'll go sharpen it. ,SN,I'll go sharpen it. 
1929,SNNo. We're supposed to pencil that.,SN,No. We're supposed to pencil that.
1934,"TYou guys seem to be having a lot less trouble than second hour did, or maybe I just explained it better this time. I don't know.",T,"You guys seem to be having a lot less trouble than second hour did, or maybe I just explained it better this time. I don't know."
1943,SNMiss A?,SN,Miss A?
1944,TMm-hm.,T,Mm-hm.
1945,SIt's hard for me to write //this small.,S,It's hard for me to write //this small.
1946,SN//Now what are we supposed to do?,SN,//Now what are we supposed to do?
1947,TI know. ,T,I know. 
1948,SNIt's hard for me to even write.,SN,It's hard for me to even write.
1949,TI told you it would be a challenge for some of you. Yes. You have very large handwriting. ,T,I told you it would be a challenge for some of you. Yes. You have very large handwriting. 
1953,SNI got very horrible handwriting.,SN,I got very horrible handwriting.
1954,SN(inaudible),SN,(inaudible)
1955,"TOh, no. That looks good, though. That looks- that's pretty good for you. Yeah. ",T,"Oh, no. That looks good, though. That looks- that's pretty good for you. Yeah. "
1961,T'Cause I know you would want to fill the map up with- like Los Angeles would cover from L.A. all the way to Florida. ,T,'Cause I know you would want to fill the map up with- like Los Angeles would cover from L.A. all the way to Florida. 
1966,SNI know. It probably would.,SN,I know. It probably would.
1967,"TMm-hm. Oh. Kansas City is Kansas City, Missouri. Did I say that? ",T,"Mm-hm. Oh. Kansas City is Kansas City, Missouri. Did I say that? "
1973,SNYeah.,SN,Yeah.
1974,TOkay. Missouri.,T,Okay. Missouri.
1976,SNOkay. I've seen (it in there).,SN,Okay. I've seen (it in there).
1978,SN(inaudible),SN,(inaudible)
1980,THmm? Which one?,T,Hmm? Which one?
1983,"SLike Kansas City. I didn't know if it- it's right there, isn't it?",S,"Like Kansas City. I didn't know if it- it's right there, isn't it?"
1987,"TYep. It's right on the edge. And then there's another one in Kansas, too, but it's not as big of a city. This is a big city here.",T,"Yep. It's right on the edge. And then there's another one in Kansas, too, but it's not as big of a city. This is a big city here."
1994,SNYou can't even see it.,SN,You can't even see it.
1995,TI know. They don't have it on that map. Do they have it on the plastic one?,T,I know. They don't have it on that map. Do they have it on the plastic one?
1999,SNYeah.,SN,Yeah.
2003,"TMissouri. Yep. And Missouri, yep. And Kansas.",T,"Missouri. Yep. And Missouri, yep. And Kansas."
2010,"SNMiss A, what is it? North, south-",SN,"Miss A, what is it? North, south-"
2014,SNEast and west.,SN,East and west.
2016,SNE- does east go right there?,SN,E- does east go right there?
2017,TMm-hm.,T,Mm-hm.
2018,SNI (don't) need painkillers.,SN,I (don't) need painkillers.
2020,TI can't give you medicine.,T,I can't give you medicine.
2022,S(inaudible),S,(inaudible)
2023,TShe would have to bring either a written- she would have to bring a note. We need something written that says that we can- ,T,She would have to bring either a written- she would have to bring a note. We need something written that says that we can- 
2031,TDo you want to go call home?,T,Do you want to go call home?
2034,"SWell, I don't want to go home.",S,"Well, I don't want to go home."
2037,"TWell, if you don't want to go home, can you call home and somebody can bring you the medicine?",T,"Well, if you don't want to go home, can you call home and somebody can bring you the medicine?"
2040,SI don't have medicine.,S,I don't have medicine.
2043,TAspirin? Painkiller?,T,Aspirin? Painkiller?
2045,"SAspirin? Will it, like, let me be able to hear?",S,"Aspirin? Will it, like, let me be able to hear?"
2048,"TTylenol? It won't let you hear, but it'll kill the hurt- it'll kill the pain if you're in pain.",T,"Tylenol? It won't let you hear, but it'll kill the hurt- it'll kill the pain if you're in pain."
2053,SI'm in a lot of pain.,S,I'm in a lot of pain.
2054,"TWell, then you need to take like Tylenol or something. Do you want to call home? ",T,"Well, then you need to take like Tylenol or something. Do you want to call home? "
2059,SYeah. ,S,Yeah. 
2060,TOkay. Do you want to call from here or do you want to go down to the office?,T,Okay. Do you want to call from here or do you want to go down to the office?
2061,SDoesn't matter.,S,Doesn't matter.
2062,TIs it like around here?,T,Is it like around here?
2064,SIt's over there. It's not long distance.,S,It's over there. It's not long distance.
2066,TOkay. Yeah. Go ahead and call home. See if somebody can bring you something. We're not allowed to administer any medication. ,T,Okay. Yeah. Go ahead and call home. See if somebody can bring you something. We're not allowed to administer any medication. 
2072,TNot even cough drops. Nine.,T,Not even cough drops. Nine.
2074,SPress nine?,S,Press nine?
2075,TUh-huh.,T,Uh-huh.
2077,"SNBrooke, where did you get ""Des Moines""?",SN,"Brooke, where did you get ""Des Moines""?"
2079,T//Des Moines.,T,//Des Moines.
2080,SN//Des Moines. Des Moines.,SN,//Des Moines. Des Moines.
2081,TThe S is silent.,T,The S is silent.
2082,SIt is in Iowa.,S,It is in Iowa.
2084,TIn your book or the plastic map?,T,In your book or the plastic map?
2086,SPlastic map.,S,Plastic map.
2087,TPlastic map only.,T,Plastic map only.
2088,SNOh. ,SN,Oh. 
2090,THow far did you get? ,T,How far did you get? 
2091,SNI don't know where humidity goes.,SN,I don't know where humidity goes.
2093,TWhere what?,T,Where what?
2094,SHumidity goes. ,S,Humidity goes. 
2095,THumidity. Were you listening when I gave directions?,T,Humidity. Were you listening when I gave directions?
2097,S(inaudible),S,(inaudible)
2100,TYou weren't listening? It's showing right now. What did I say about humidity? Did you have to put humidity on it last week?,T,You weren't listening? It's showing right now. What did I say about humidity? Did you have to put humidity on it last week?
2108,SYeah.,S,Yeah.
2109,TThink for a minute. Did you remember putting any on that worksheet we did?,T,Think for a minute. Did you remember putting any on that worksheet we did?
2116,SYeah.,S,Yeah.
2117,SNIsn't it-,SN,Isn't it-
2118,THumidity?,T,Humidity?
2119,"SNYeah. It goes right below temperature, doesn't it?",SN,"Yeah. It goes right below temperature, doesn't it?"
2121,TNnn-,T,Nnn-
2122,SNo? It goes-,S,No? It goes-
2123,SNDoes it go below air pressure?,SN,Does it go below air pressure?
2125,TDew point goes below air temperature. Humidity is not on your station model at all. Remember I said that?,T,Dew point goes below air temperature. Humidity is not on your station model at all. Remember I said that?
2132,SNYeah. I got dew point underneath.,SN,Yeah. I got dew point underneath.
2135,TAh. It's not on there at all. ,T,Ah. It's not on there at all. 
2137,SOh. Just pressure- what?,S,Oh. Just pressure- what?
2139,THumidity isn't on there at all. ,T,Humidity isn't on there at all. 
2142,"TThere's no humidity on that station model. Because when you look at dew point, you should be able to tell what the humidity is like, right? ",T,"There's no humidity on that station model. Because when you look at dew point, you should be able to tell what the humidity is like, right? "
2150,"TFor instance, look at-",T,"For instance, look at-"
2155,Tis it New Orleans or Kansas City? Whose got a hundred percent humidity?,T,is it New Orleans or Kansas City? Whose got a hundred percent humidity?
2162,SNDenver.,SN,Denver.
2163,TDenver?,T,Denver?
2164,SNNot only Denver.,SN,Not only Denver.
2165,TOkay. There's Denver. Okay. What's temperature in Denver?,T,Okay. There's Denver. Okay. What's temperature in Denver?
2169,S30-30.,S,30-30.
2170,TWhat's dew point?,T,What's dew point?
2171,S30,S,30
2172,TSo what does that tell you about the humidity?,T,So what does that tell you about the humidity?
2174,SIt's gonna rain.,S,It's gonna rain.
2175,TWhat's the humidity?,T,What's the humidity?
2179,SHundred.,S,Hundred.
2180,TA hundred percent.,T,A hundred percent.
2182,SIt's gonna rain or snow.,S,It's gonna rain or snow.
2183,"TIt's- and it is doing that, right? Right.",T,"It's- and it is doing that, right? Right."
2187,SOr it's gonna- I don't know.,S,Or it's gonna- I don't know.
2196,"TI will eliminate the ability to talk to your neighbors with- for the worksheet, if we're gonna talk about other things. ",T,"I will eliminate the ability to talk to your neighbors with- for the worksheet, if we're gonna talk about other things. "
2204,"SNIs your phone- it says- like I don't know if it //says ""message for you.""",SN,"Is your phone- it says- like I don't know if it //says ""message for you."""
2207,T//Message for you. I know. Somebody called me last week and left me a message. I never answered it. ,T,//Message for you. I know. Somebody called me last week and left me a message. I never answered it. 
2214,"TOkay? Do you get it now, Stuart? No humidity because you can tell the humidity by the dew point. How are you doing?",T,"Okay? Do you get it now, Stuart? No humidity because you can tell the humidity by the dew point. How are you doing?"
2221,SNOkay.,SN,Okay.
2222,"TNow, these all have to go a certain way.",T,"Now, these all have to go a certain way."
2225,SRight.,S,Right.
2226,TThis one I can't tell- oh. Okay. There it is. Your direction for wind.,T,This one I can't tell- oh. Okay. There it is. Your direction for wind.
2231,SOh.,S,Oh.
2240,SNWhat are the cloudies again? I forgot.,SN,What are the cloudies again? I forgot.
2243,TThe cloudies?,T,The cloudies?
2244,"SYes. Now, I know this is clear.",S,"Yes. Now, I know this is clear."
2247,TOkay. ,T,Okay. 
2248,SAnd I say-,S,And I say-
2250,TWhat one is this one? ,T,What one is this one? 
2251,SI say cloudy.,S,I say cloudy.
2254,TOkay. But you've got some sun there. Is it completely cloudy?,T,Okay. But you've got some sun there. Is it completely cloudy?
2259,"SNo. It's just cloudy. Mostly cloudy is completely cloudy, right? The same thing?",S,"No. It's just cloudy. Mostly cloudy is completely cloudy, right? The same thing?"
2266,TMostly cloudy means there must be some- a little bit of sun.,T,Mostly cloudy means there must be some- a little bit of sun.
2270,SAll right.,S,All right.
2271,TSo what have you got there? ,T,So what have you got there? 
2272,SMostly cloudy.,S,Mostly cloudy.
2273,TA little bit of sun. Right. You want it all the way cloudy so what are you going to do?,T,A little bit of sun. Right. You want it all the way cloudy so what are you going to do?
2276,SFill it in?,S,Fill it in?
2277,TRight.,T,Right.
2279,"SAll right. So whole circle, that's cloudy.",S,"All right. So whole circle, that's cloudy."
2284,TUh-huh.,T,Uh-huh.
2285,"SAnd then half is partly cloudy, right?",S,"And then half is partly cloudy, right?"
2289,TYes. ,T,Yes. 
2294,"SAnd then... cloudy, partly cloudy, and then mostly cloudy is 75%. ",S,"And then... cloudy, partly cloudy, and then mostly cloudy is 75%. "
2303,TYep. ,T,Yep. 
2309,TThat's right. You know what it is. You're the only one that has to look at it. So then what is going to be mostly sunny?,T,That's right. You know what it is. You're the only one that has to look at it. So then what is going to be mostly sunny?
2321,SThis?,S,This?
2322,SNA quarter. ,SN,A quarter. 
2323,TThat's clear. That's completely sunny.,T,That's clear. That's completely sunny.
2327,SNCompletely sunny?,SN,Completely sunny?
2328,"TIf you've got partly cloudy here, what's mostly sunny gonna look like? ",T,"If you've got partly cloudy here, what's mostly sunny gonna look like? "
2334,"TMostly clear except a little bit of clouds. Right. Right, right, right. Yep. Yep. There you go. You got it. ",T,"Mostly clear except a little bit of clouds. Right. Right, right, right. Yep. Yep. There you go. You got it. "
2345,"TYou sigh like you're in pain, Todd. Is this hurting?",T,"You sigh like you're in pain, Todd. Is this hurting?"
2354,"TCome on, you're not gonna make me stand here the whole time, are you?",T,"Come on, you're not gonna make me stand here the whole time, are you?"
2357,SNNo. ,SN,No. 
2358,"TOkay. Then stay on task, okay?",T,"Okay. Then stay on task, okay?"
2359,SNWhere is Kansas City at?,SN,Where is Kansas City at?
2361,SNI'm trying to calm her down.,SN,I'm trying to calm her down.
2363,SNI've got energy because he won't let me talk all day.,SN,I've got energy because he won't let me talk all day.
2365,"TOkay. A very good question, Jennifer. That was the other one I hadn't answered. Listen, please. ",T,"Okay. A very good question, Jennifer. That was the other one I hadn't answered. Listen, please. "
2370,TOne of those has a variable direction which means you're not gonna have an arrow shooting into that circle because they're all over the place. ,T,One of those has a variable direction which means you're not gonna have an arrow shooting into that circle because they're all over the place. 
2378,"TIf you don't have the arrow shooting into the circle, then you can't put the what? Five miles per hour?",T,"If you don't have the arrow shooting into the circle, then you can't put the what? Five miles per hour?"
2382,SNYeah.,SN,Yeah.
2383,"TOkay. So put the line on there anywhere. Because if it's variable, it's changing a whole lot. ",T,"Okay. So put the line on there anywhere. Because if it's variable, it's changing a whole lot. "
2388,"TSo just put it anywhere, and then put the five-mile-an-hour line on there. There's another one, though, that says variable-",T,"So just put it anywhere, and then put the five-mile-an-hour line on there. There's another one, though, that says variable-"
2396,TSpeed.,T,Speed.
2397,"Tspeed, so put the arrow for the wind direction and then put a V at the end of it, okay? ",T,"speed, so put the arrow for the wind direction and then put a V at the end of it, okay? "
2404,TBecause you can't say. It's probably anywhere from three to 15 miles an hour. ,T,Because you can't say. It's probably anywhere from three to 15 miles an hour. 
2410,TOkay? Get it?,T,Okay? Get it?
2412,SNYeah.,SN,Yeah.
2413,TOkay. Does that help? Okay.,T,Okay. Does that help? Okay.
2424,"SNOkay, with that line stuff with the- with the-",SN,"Okay, with that line stuff with the- with the-"
2431,SNThe calm wind chill?,SN,The calm wind chill?
2432,SNYeah. The wind speed.,SN,Yeah. The wind speed.
2433,TUh-huh.,T,Uh-huh.
2434,SThe lines with the five and the 10. How are we supposed to know-,S,The lines with the five and the 10. How are we supposed to know-
